date,open,high,low,close,volume,symbol
2025-04-25,546.8,549.86,536.25,547.27,17098921.0,META
2025-04-28,555.64,558.4899,540.59,549.74,15178995.0,META
2025-04-29,546.0,556.5699,544.12,554.44,11835036.0,META
2025-04-30,538.4,549.1,529.5,549.0,29243971.0,META
2025-05-01,592.075,592.95,570.5,572.21,31159033.0,META
2025-05-02,583.455,604.34,578.33,597.02,24739260.0,META
2025-05-05,591.22,603.21,588.05,599.27,13887724.0,META
2025-05-06,592.525,596.03,586.58,587.31,10600650.0,META
2025-05-07,590.36,603.075,586.67,596.81,13160976.0,META
2025-05-08,606.285,611.2959,596.62,598.01,14622805.0,META
2025-05-09,603.72,606.97,591.7062,592.49,10427286.0,META
2025-05-12,630.92,640.3896,621.03,639.43,21965085.0,META
2025-05-13,645.545,660.92,642.83,656.03,18570821.0,META
2025-05-14,661.21,662.67,654.31,659.36,12348179.0,META
2025-05-15,654.275,657.31,638.58,643.88,14341835.0,META
2025-05-16,637.955,640.44,626.15,640.34,18518972.0,META
2025-05-19,628.25,643.0,627.8,640.43,9592374.0,META
2025-05-20,636.01,639.3536,632.26,637.1,6743473.0,META
2025-05-21,631.79,646.61,630.17,635.5,11464569.0,META
2025-05-22,634.05,643.25,630.71,636.57,8228443.0,META
2025-05-23,624.0,632.445,622.65,627.06,8454067.0,META
2025-05-27,635.41,643.08,632.75,642.32,9508367.0,META
2025-05-28,642.6,650.88,642.5472,643.58,9042874.0,META
2025-05-29,651.645,653.32,639.5,645.05,8883436.0,META
